season,gsis_id,pfr_id,team
2024,00-0029604,CousKi00,ATL
2024,00-0029607,DaviDe00,NO
2024,00-0029621,ZuerGr00,NYJ
2024,00-0029692,AngeBr00,DAL
2024,00-0029892,JuszKy00,SF
2024,00-0030035,ThieAd00,CAR
2024,00-0030063,HankJo00,SEA
2024,00-0030070,JenkJo00,LV
2024,00-0030098,HopkDu00,CLE
2024,00-0030114,PoyeJo00,MIA
2024,00-0030279,AlleKe00,CHI
2024,00-0030459,MathTy00,NO
2024,00-0030500,WillNi01,SF
2024,00-0030565,SmitGe00,SEA
2024,00-0031079,ODonPa00,SF
2024,00-0031235,BeckOd00,MIA
2024,00-0031236,CookBr00,DAL
2024,00-0031260,ThomLo00,SF
2024,00-0031270,HarrSh00,CLE
2024,00-0031280,CarrDe02,NO
2024,00-0031296,MoslC.00,NYJ
2024,00-0031299,MattJo00,CAR
2024,00-0032208,DorsPh00,ATL
2024,00-0032211,LockTy00,SEA
2024,00-0032215,WilsDa02,DAL
2024,00-0033072,FloyLe00,SF
2024,00-0033077,PresDa01,DAL
2024,00-0033084,FullKe00,MIA
2024,00-0033090,HenrHu00,NE
2024,00-0033096,LawsSh00,CAR
2024,00-0033103,BurnAr00,SEA
2024,00-0033109,HargJa00,SF
2024,00-0033119,BrisJa00,NE
2024,00-0033123,NgakYa00,NE
2024,00-0033131,CollMa00,SF
2024,00-0033132,ByarKe01,CHI
2024,00-0033217,AlieMo00,IND
2024,00-0033251,PascZa00,ARI
2024,00-0033275,WalkPh00,SEA
2024,00-0033280,McCaCh01,SF
2024,00-0033283,BowsTy00,MIA
2024,00-0033288,KittGe00,SF
2024,00-0033292,TaylTr02,SF
2024,00-0033294,ClarCh00,NYJ
2024,00-0033302,ColbAd00,CHI
2024,00-0033307,BourKe00,NE
2024,00-0033308,BreiMa00,SF
2024,00-0033357,HillTa00,NO
2024,00-0033387,HollJa03,CAR
2024,00-0033393,MoorKe03,IND
2024,00-0033439,BrowPh01,SEA
2024,00-0033073,OgbaEm00,MIA
2024,00-0033066,BillAn00,CHI
2024,00-0032221,RayxSh00,TEN
2024,00-0033055,RamsJa00,MIA
2024,00-0032378,BuckDe00,IND
2024,00-0032387,ReedJa02,SEA
2024,00-0032392,HoopAu00,NE
2024,00-0032394,VannNi00,TEN
2024,00-0032401,CampDe00,SF
2024,00-0032415,JudoMa00,ATL
2024,00-0032434,AlleBr00,SF
2024,00-0032580,JoneJo03,NE
